"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-01-06","0.65",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-01-12","0.46",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-01-13","0.09",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-01-14","0.01",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-01-15","0.60",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-01-16","1.93",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-01-17","0.62",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-01-18","1.57",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-01-21","0.02",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-01","0.49",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-02","0.15",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-03","1.68",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-04","0.68",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-05","0.86",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-06","0.10",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-09","0.03",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-10","0.24",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-11","0.41",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-14","3.19",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-15","2.22",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-16","0.22",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-18","0.13",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-19","0.01",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-21","0.46",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-22","0.19",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-02-28","0.03",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-03-01","0.01",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-03-02","0.30",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-03-03","0.83",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-03-05","0.00","T,,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-03-06","0.08",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-03-07","0.71",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-03-08","0.12",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-03-11","0.04",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-03-12","0.30",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-03-13","0.06",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-03-21","0.04",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-03-22","0.14",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-04-03","0.05",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-04-04","0.02",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-04-29","0.04",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-04-30","0.13",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-01","0.15",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-06","0.06",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-07","0.04",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-09","0.03",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-10","0.05",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-11","0.02",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-16","0.01",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-17","0.41",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-19","0.05",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-20","0.32",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-23","0.06",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-24","0.01",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-05-27","0.27",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-06-02","0.02",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-06-17","0.07",",,N"
"US1CAOR0049","TRABUCO CANYON 0.2 N, CA US","2019-06-18","0.03",",,N"
